time,uuid,epochs,rows,columns,behaviours,min_angle,mag_goals,mag_modifier,sim_type,sim_time,mutation_strength,popsize,loss
2024-02-20T19:19:40.755,148985740576002320931935774874494791849,120,5,4,1,0.0,0.1,0.1,Diff,1000.0,6.859999999999999e-5,10,4.443068838780194
2024-02-20T19:19:43.952,148985740576002320931935774874494791849,125,5,4,1,0.0,0.1,0.1,Diff,1000.0,6.859999999999999e-5,10,4.442564044427204
2024-02-20T19:19:47.096,148985740576002320931935774874494791849,130,5,4,1,0.0,0.1,0.1,Diff,1000.0,6.859999999999999e-5,10,4.4418158409643445
2024-02-20T19:19:50.23,148985740576002320931935774874494791849,135,5,4,1,0.0,0.1,0.1,Diff,1000.0,6.859999999999999e-5,10,4.44136486811196
2024-02-20T19:19:53.325,148985740576002320931935774874494791849,140,5,4,1,0.0,0.1,0.1,Diff,1000.0,6.859999999999999e-5,10,4.440629958691797
2024-02-20T19:19:56.421,148985740576002320931935774874494791849,145,5,4,1,0.0,0.1,0.1,Diff,1000.0,6.859999999999999e-5,10,4.4399207689840665
2024-02-20T19:19:59.543,148985740576002320931935774874494791849,150,5,4,1,0.0,0.1,0.1,Diff,1000.0,4.801999999999999e-5,10,4.4393593837426755
2024-02-20T19:20:02.653,148985740576002320931935774874494791849,155,5,4,1,0.0,0.1,0.1,Diff,1000.0,4.801999999999999e-5,10,4.438953878836044
2024-02-20T19:20:05.766,148985740576002320931935774874494791849,160,5,4,1,0.0,0.1,0.1,Diff,1000.0,4.801999999999999e-5,10,4.438381063687258
2024-02-20T19:20:08.903,148985740576002320931935774874494791849,165,5,4,1,0.0,0.1,0.1,Diff,1000.0,4.801999999999999e-5,10,4.438079444942775
2024-02-20T19:20:12.018,148985740576002320931935774874494791849,170,5,4,1,0.0,0.1,0.1,Diff,1000.0,4.801999999999999e-5,10,4.437608988647784
2024-02-20T19:20:15.131,148985740576002320931935774874494791849,175,5,4,1,0.0,0.1,0.1,Diff,1000.0,4.801999999999999e-5,10,4.437233860713369
2024-02-20T19:20:18.256,148985740576002320931935774874494791849,180,5,4,1,0.0,0.1,0.1,Diff,1000.0,4.801999999999999e-5,10,4.4368888373576425
2024-02-20T19:20:21.372,148985740576002320931935774874494791849,185,5,4,1,0.0,0.1,0.1,Diff,1000.0,4.801999999999999e-5,10,4.4366813278142425
2024-02-20T19:20:24.482,148985740576002320931935774874494791849,190,5,4,1,0.0,0.1,0.1,Diff,1000.0,4.801999999999999e-5,10,4.4362371880646
2024-02-20T19:20:27.578,148985740576002320931935774874494791849,195,5,4,1,0.0,0.1,0.1,Diff,1000.0,4.801999999999999e-5,10,4.4357133738965135
2024-02-20T19:20:30.694,148985740576002320931935774874494791849,200,5,4,1,0.0,0.1,0.1,Diff,1000.0,4.801999999999999e-5,10,4.4351872627235815
